"","id","observed_on_string","observed_on","time_observed_at","time_zone","out_of_range","user_id","user_login","created_at","updated_at","quality_grade","license","url","image_url","tag_list","description","id_please","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","positional_accuracy","geoprivacy","coordinates_obscured","positioning_method","positioning_device","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","hometown","NLCD_layer","longitude","latitude"
"1",2931940,"2016-04-14 12:25:00 AM PDT","2016-04-14","2016-04-15 07:25:00 +1200","Pacific Time (US & Canada)","",151043,"msmorales","2016-04-14 19:28:36 +1200","2017-04-13 06:05:00 +1200","research","CC-BY","http://www.inaturalist.org/observations/2931940","https://static.inaturalist.org/photos/3359845/medium.jpeg?1460618939","","Spotted on a the wall of a planter, while the sprinkler system was running. Using scale, the snail is approximately 3.3 cm in length (from tail to head). Scale bar in third photo added using ImageJ, using 2.41 cm as the diameter of a U.S. quarter.","true",4,0,"false",2,"Olive Lane Walk Pomona, CA 91768",4,"","false","gps","gps","Garden Snail","Cornu aspersum","Garden Snail","Mollusca",480298,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","la",21,-117.821878,34.058288
"14",2935556,"2016-04-14 1:46:09 PM PDT","2016-04-14","2016-04-15 08:46:09 +1200","Pacific Time (US & Canada)","",216756,"yajaira","2016-04-15 08:48:06 +1200","2017-04-13 06:06:05 +1200","research","","http://www.inaturalist.org/observations/2935556","https://static.inaturalist.org/photos/3364504/medium.jpg?1460666896","","","true",2,0,"false",2,"9500-9648 Hildreth Ave South Gate, CA 90280",344,"","false","gps","gps","Monarch","Danaus plexippus","Monarch","Insecta",48662,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","la",22,-118.1874086335,33.9456487439
"15",2935570,"2016-04-14 1:49:13 PM PDT","2016-04-14","2016-04-15 08:49:13 +1200","Pacific Time (US & Canada)","true",216756,"yajaira","2016-04-15 08:50:31 +1200","2017-04-13 06:06:05 +1200","research","","http://www.inaturalist.org/observations/2935570","https://static.inaturalist.org/photos/3364546/medium.jpg?1460667046","","","true",2,0,"false",2,"4900 Southern Ave South Gate, CA 90280",344,"","false","gps","gps","Fox Squirrel","Sciurus niger","Fox Squirrel","Mammalia",46020,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","la",23,-118.1841651723,33.9473809463
"28",2935997,"Thu Apr 14 2016 14:26:04 GMT-0700 (PDT)","2016-04-14","2016-04-15 09:26:04 +1200","Pacific Time (US & Canada)","",81779,"scubabruin","2016-04-15 09:47:01 +1200","2018-01-14 08:55:25 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2935997","https://static.inaturalist.org/photos/3365122/medium.jpg?1460670455","","","true",1,0,"false",3,"Los Angeles County, US-CA, US",5,"obscured","true","","","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","la",52,-118.4533725304,34.1153809062
"29",2935998,"Thu Apr 14 2016 14:43:32 GMT-0700 (PDT)","2016-04-14","2016-04-15 09:43:32 +1200","Pacific Time (US & Canada)","",81779,"scubabruin","2016-04-15 09:47:35 +1200","2018-01-14 08:55:26 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2935998","https://static.inaturalist.org/photos/3365125/medium.jpg?1460670491","","","true",1,0,"false",3,"Los Angeles County, US-CA, US",5,"obscured","true","","","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","la",23,-118.407234314,34.0525641327
"30",2936062,"Thu Apr 14 2016 14:54:14 GMT-0700 (PDT)","2016-04-14","2016-04-15 09:54:14 +1200","Pacific Time (US & Canada)","",81779,"scubabruin","2016-04-15 09:57:48 +1200","2018-01-14 08:55:26 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2936062","https://static.inaturalist.org/photos/3365215/medium.jpg?1460671176","","I've never seen these before.  Three individuals about one foot apart resting under a plastic pool tubing","false",3,0,"false",3,"Los Angeles County, US-CA, US",163,"obscured","true","","","Cellar Slug","Limacus flavus","Cellar Slug","Mollusca",322417,"Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","la",21,-118.5735565906,34.1818541248
"31",2936398,"2016-04-14 1:51:07 PM PDT","2016-04-14","2016-04-15 08:51:07 +1200","Pacific Time (US & Canada)","true",216703,"aganezer","2016-04-15 11:08:03 +1200","2017-04-13 06:06:36 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2936398","https://static.inaturalist.org/photos/3365635/medium.jpg?1460675292","","","true",1,0,"false",2,"933 9th Ct Santa Monica, CA 90403",50,"","false","","","Fox Squirrel","Sciurus niger","Fox Squirrel","Mammalia",46020,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","la",24,-118.4971165,34.0266562
"32",2936858,"Thu Apr 14 2016 17:28:24 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:28:24 +1200","Pacific Time (US & Canada)","",216960,"bigpinkhair","2016-04-15 12:28:45 +1200","2018-01-14 08:55:31 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2936858","https://static.inaturalist.org/photos/3366323/medium.jpg?1460680226","","","true",2,0,"false",3,"4309–4377 W 6th St, Los Angeles, CA, US",5,"","false","","","Garden Snail","Cornu aspersum","Garden Snail","Mollusca",480298,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","la",22,-118.3189413977,34.0637026588
"33",2936946,"Thu Apr 14 2016 17:40:20 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:40:20 +1200","Pacific Time (US & Canada)","false",76855,"bradrumble","2016-04-15 12:42:45 +1200","2018-01-14 08:55:31 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2936946","https://static.inaturalist.org/photos/3366440/medium.jpg?1460680970","","","false",1,0,"false",3,"Fletcher Dr, Los Angeles, CA, US",36,"","false","","","Black-necked Stilt","Himantopus mexicanus","Black-necked Stilt","Aves",4836,"Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","la",21,-118.2538375918,34.1086712495
"35",2936973,"Thu Apr 14 2016 17:44:56 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:44:56 +1200","Pacific Time (US & Canada)","",211531,"amanda41","2016-04-15 12:47:34 +1200","2018-02-20 15:22:37 +1300","research","","http://www.inaturalist.org/observations/2936973","https://static.inaturalist.org/photos/3366493/medium.jpg?1460681263","","","true",3,0,"false",3,"5630 Blackwelder St, Los Angeles, CA, US",207,"","false","","","Mediterranean Fruit Fly","Ceratitis capitata","Mediterranean Fruit Fly","Insecta",199404,"Animalia","Arthropoda","Insecta","Diptera","Tephritidae","la",23,-118.3672054569,34.0291052812
"37",2937013,"Thu Apr 14 2016 17:54:38 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:54:38 +1200","Pacific Time (US & Canada)","false",76855,"bradrumble","2016-04-15 12:55:04 +1200","2018-01-14 08:55:33 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937013","https://static.inaturalist.org/photos/3366557/medium.jpg?1460681746","","","false",1,0,"false",3,"2943 Gleneden St, Los Angeles, CA, US",5,"","false","","","Cedar Waxwing","Bombycilla cedrorum","Cedar Waxwing","Aves",7428,"Animalia","Chordata","Aves","Passeriformes","Bombycillidae","la",23,-118.2484762465,34.1081305594
"38",2937019,"Thu Apr 14 2016 17:55:51 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:55:51 +1200","Pacific Time (US & Canada)","false",76855,"bradrumble","2016-04-15 12:56:08 +1200","2018-01-14 08:55:34 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937019","https://static.inaturalist.org/photos/3366564/medium.jpg?1460681777","","","false",1,0,"false",3,"2943 Gleneden St, Los Angeles, CA, US",5,"","false","","","Double-crested Cormorant","Phalacrocorax auritus","Double-crested Cormorant","Aves",4265,"Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","la",23,-118.248038795,34.1080539907
"39",2937028,"Thu Apr 14 2016 17:57:15 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:57:15 +1200","Pacific Time (US & Canada)","",211531,"amanda41","2016-04-15 12:57:32 +1200","2018-01-14 08:55:35 +1300","research","","http://www.inaturalist.org/observations/2937028","https://static.inaturalist.org/photos/3366578/medium.jpg?1460681899","","","true",2,0,"false",3,"5630 Blackwelder St, Los Angeles, CA, US",5,"","false","","","Seven-spotted Ladybird","Coccinella septempunctata","Seven-spotted Ladybug","Insecta",51702,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","la",23,-118.367165085,34.0291912202
"40",2937036,"Thu Apr 14 2016 17:57:51 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:57:51 +1200","Pacific Time (US & Canada)","false",76855,"bradrumble","2016-04-15 12:58:27 +1200","2018-01-14 08:55:35 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937036","https://static.inaturalist.org/photos/3366674/medium.jpg?1460682473","","","false",1,0,"false",3,"2960 Marsh St, Los Angeles, CA, US",5,"","false","","","Spotted Sandpiper","Actitis macularius","Spotted Sandpiper","Aves",72458,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","la",23,-118.247151822,34.1078157351
"41",2937063,"Thu Apr 14 2016 17:57:27 GMT-0700 (PDT)","2016-04-14","2016-04-15 12:57:27 +1200","Pacific Time (US & Canada)","",216096,"poonam","2016-04-15 13:01:57 +1200","2018-01-14 08:55:35 +1300","research","","http://www.inaturalist.org/observations/2937063","https://static.inaturalist.org/photos/3366612/medium.jpg?1460682124","","","false",2,0,"false",3,"509 W Avenue 44, Los Angeles, CA, US",5,"","false","","","Monarch","Danaus plexippus","Monarch","Insecta",48662,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","la",21,-118.2130418346,34.1007794626
"43",2937085,"Thu Apr 14 2016 18:05:26 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:05:26 +1200","Pacific Time (US & Canada)","",211531,"amanda41","2016-04-15 13:05:52 +1200","2018-01-14 08:55:36 +1300","research","","http://www.inaturalist.org/observations/2937085","https://static.inaturalist.org/photos/3366646/medium.jpg?1460682363","","","true",2,0,"false",3,"5634 Blackwelder St, Los Angeles, CA, US",5,"","false","","","Cabbage White","Pieris rapae","Cabbage White","Insecta",55626,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","la",23,-118.3672188969,34.0293632169
